int	string	string	int	DTVector2	int	int	int	int	int	int	int	int	int	int	int64	int	DTItemNum[]	int	int	int	int
11020	独立宫	Independence Hall	20	0.2;0.7	0	0	1401	0	0	0	26	0	0	13	8500	80	1:5;9001:2;5005:16	5	11019	11021	1106
11021	宾夕法尼亚大学	Upenn	20	0.5;0.3	0	1201	0	0	0	28	0	0	0	13	8800	80	1:5;9001:2;5005:16	5	11020	11022	1106
11022	自由钟	The Liberty Bell	20	0.2;0.2	1101	0	0	0	0	27	0	0	0	10	9100	80	1:5;9001:2;5005:16	5	11021	11023	1106
11023	市政厅	City Hall	20	0.2;0.9	0	0	0	1502	0	28	0	0	0	10	9400	80	1:5;9001:2;5005:16	5	11022	11024	1106
11024	费城艺术博物馆	Museum of Art	20	0.65;0.9	0	1202	0	0	0	0	28	0	0	10	9700	80	1:5;9001:2;5005:16	5	11023	11025	1106
11025	通用汽车中心	GM Center	20	0.1;0.6	0	0	0	1501	0	33	0	0	0	13	11000	100	1:5;9001:2;5005:17	5	11024	11026	1107
11026	底特律市中心	Detroit Downtown	20	0.68;0.4	0	0	1402	0	33	0	0	0	0	13	11200	100	1:5;9001:2;5005:17	5	11025	11027	1107
11027	底特律艺术学院	Detroit Art College	20	0.3;0.2	0	1201	0	0	0	31	0	0	0	10	11400	100	1:5;9001:2;5005:17	5	11026	11028	1107
11028	海德堡项目	Heidelberg Project	20	0.2;0.9	0	0	0	1501	0	31	0	0	0	10	11600	100	1:5;9001:2;5005:17	5	11027	11029	1107
11029	希腊镇	Greektown	20	0.7;0.9	0	0	1402	0	31	0	0	0	0	10	12000	100	1:5;9001:2;5005:17	5	11028	11030	1107
11030	昆西市场	Quincy Market	20	0.1;0.6	0	1202	0	0	0	0	37	0	0	13	12500	100	1:5;9001:2;5005:18	5	11029	11031	1108
11031	自由之路	Freedom Trail	20	0.68;0.4	0	0	1401	0	37	0	0	0	0	13	12800	100	1:5;9001:2;5005:18	5	11030	11032	1108
11032	查尔斯河	Charles River	20	0.3;0.2	0	0	0	1501	39	0	0	0	0	10	13100	100	1:5;9001:2;5005:18	5	11031	11033	1108
11033	波士顿公园	Boston Common	20	0.2;0.9	0	1201	0	0	35	0	0	0	0	10	13400	100	1:5;9001:2;5005:18	5	11032	11034	1108
11034	公共图书馆	Public Library	20	0.7;0.9	0	0	1401	0	0	39	0	0	0	10	13700	100	1:5;9001:2;5005:18	5	11033	11035	1108
11035	旧金山渔人码头	Fishermans Wharf	20	0.1;0.7	0	0	0	1502	40	0	0	0	0	13	14500	100	1:5;9001:2;5005:19	5	11034	11036	1109
11036	金门大桥	Golden Gate Bridge	20	0.68;0.4	1102	0	0	0	0	0	42	0	0	13	15000	100	1:5;9001:2;5005:19	5	11035	11037	1109
11037	九曲花街	Lombard Street	20	0.3;0.2	0	0	0	1502	0	0	44	0	0	10	15300	100	1:5;9001:2;5005:19	5	11036	11038	1109
11038	美国艺术宫	Palace of Fine Arts	20	0.2;0.9	0	0	1401	0	0	0	41	0	0	10	15600	100	1:5;9001:2;5005:19	5	11037	11039	1109
11039	恶魔岛	Alcatraz Island	20	0.7;0.9	0	1201	0	0	0	0	44	0	0	10	15900	100	1:5;9001:2;5005:19	5	11038	11040	1109
11040	匹兹堡大学	PITT	20	0.1;0.7	0	1202	0	0	0	49	0	0	0	13	16800	200	1:5;9001:2;5005:20	5	11039	11041	1110
11041	华盛顿山	Mount Washington	20	0.68;0.4	0	0	0	1502	47	0	0	0	0	13	16968	200	1:5;9001:2;5005:20	5	11040	11042	1110
11042	卡内基梅隆大学	CMU	20	0.2;0.2	1101	0	0	0	0	48	0	0	0	10	17100	200	1:5;9001:2;5005:20	5	11041	11043	1110
11043	点州立公园	Point State Park	20	0.2;0.9	0	1202	0	0	47	0	0	0	0	10	17300	200	1:5;9001:2;5005:20	5	11042	11044	1110
11044	菲普斯音乐学院	Phipps Conservatory	20	0.65;0.7	0	0	1402	0	0	0	47	0	0	10	17500	200	1:5;9001:2;5005:20	5	11043	11045	1110
11045	乔治亚水族馆	Georgia Aquarium	17	0.2;0.2	0	1201	0	0	0	0	52	0	0	13	22000	200	1:5;9001:3;5005:22	5	11044	11046	1111
11046	CNN中心	CNN Center	17	0.2;0.8	0	0	0	1501	52	0	0	0	0	10	22220	200	1:5;9001:3;5005:22	5	11045	11047	1111
11047	百年奥林匹克公园	Olympic Park	17	0.4;0.95	0	0	1402	0	0	0	53	0	0	10	22442	200	1:5;9001:3;5005:22	5	11046	11048	1111
11048	玛格丽特博物馆	Margaret Museum	17	0.69;0.5	0	1202	0	0	54	0	0	0	0	10	22666	200	1:5;9001:3;5005:22	5	11047	11049	1111
11049	石岭州立公园	Stone Mountain Park	17	0.59;0.25	0	0	0	1501	54	0	0	0	0	10	22893	200	1:5;9001:3;5005:22	5	11048	11050	1111
11050	天鹅屋	Swan House	17	0.75;0.95	1102	0	0	0	0	0	53	0	0	8	23122	200	1:5;9001:3;5005:22	5	11049	11051	1111
11051	恐龙湾	Hanauma Bay	17	0.2;0.2	0	1201	0	0	55	0	0	0	0	13	24000	200	1:5;9001:3;5005:23	5	11050	11052	1112
11052	钻石山	Diamond Head	17	0.2;0.8	0	0	1402	0	0	58	0	0	0	10	24240	200	1:5;9001:3;5005:23	5	11051	11053	1112
11053	威基基海滩	Waikiki Beach	17	0.4;0.95	0	0	0	1502	0	0	59	0	0	10	24482	200	1:5;9001:3;5005:23	5	11052	11054	1112
11054	卡拉卡瓦大道	Kalakaua Ave	17	0.7;0.5	1102	0	0	0	0	0	58	0	0	10	24727	200	1:5;9001:3;5005:23	5	11053	11055	1112
11055	哈鲁那喷泉口	Halona Blow Hole	17	0.6;0.25	0	1201	0	0	0	55	0	0	0	10	24974	200	1:5;9001:3;5005:23	5	11054	11056	1112
11056	伊欧拉尼皇宫	Iolani Palace	17	0.74;0.95	0	0	1401	0	59	0	0	0	0	8	25224	200	1:5;9001:3;5005:23	5	11055	11057	1112
11057	迪纳利国家公园	Denali National Park	17	0.2;0.2	0	1201	0	0	0	0	63	0	0	13	26000	300	1:5;9001:3;5005:24	5	11056	11058	1113
11058	切纳温泉	Chena Hot Springs	17	0.2;0.8	0	0	1402	0	62	0	0	0	0	10	26260	300	1:5;9001:3;5005:24	5	11057	11059	1113
11059	冰川湾国家公园	Glacier Bay Park	17	0.25;0.97	0	0	0	1502	0	63	0	0	0	10	26523	300	1:5;9001:3;5005:24	5	11058	11060	1113
11060	基奈峡湾国家公园	National Park	17	0.7;0.5	1101	0	0	0	0	0	63	0	0	10	26788	300	1:5;9001:3;5005:24	5	11059	11061	1113
11061	北方极地博物馆	Museum of the North	17	0.6;0.3	0	1202	0	0	0	63	0	0	0	10	27056	300	1:5;9001:3;5005:24	5	11060	11062	1113
11062	麦金利山	Mount McKinley	17	0.72;0.95	0	0	1402	0	0	0	63	0	0	8	27327	300	1:5;9001:3;5005:24	5	11061	11063	1113
11063	派克市场	Pike Market Place	17	0.2;0.2	1102	0	0	0	0	69	0	0	0	13	27000	300	1:5;9001:3;5005:25	5	11062	11064	1114
11064	华盛顿大学	UW	17	0.2;0.8	0	0	0	1501	0	69	0	0	0	10	27270	300	1:5;9001:3;5005:25	5	11063	11065	1114
11065	太空针塔	Seattle Space Needle	17	0.25;0.97	0	0	1401	0	0	65	0	0	0	10	27543	300	1:5;9001:3;5005:25	5	11064	11066	1114
11066	奇胡利玻璃艺术园	Garden and Glass	17	0.7;0.5	0	1202	0	0	0	0	69	0	0	10	27818	300	1:5;9001:3;5005:25	5	11065	11067	1114
11067	凯瑞公园	Kerry Park	17	0.6;0.25	1101	0	0	0	0	65	0	0	0	10	28096	300	1:5;9001:3;5005:25	5	11066	11068	1114
11068	口香糖墙	The Gum Wall	17	0.74;0.95	0	0	1401	0	0	0	68	0	0	8	28377	300	1:5;9001:3;5005:25	5	11067	11069	1114
11069	罗比林吊桥	Roebling Bridge	17	0.2;0.2	0	1201	0	0	74	0	0	0	0	13	29000	300	1:5;9001:3;5005:26	5	11068	11070	1115
11070	喷泉广场	Fountain Square	17	0.2;0.8	0	0	0	1501	73	0	0	0	0	10	29290	300	1:5;9001:3;5005:26	5	11069	11071	1115
11071	越莱茵河区	Over the Rhine	17	0.4;0.95	0	0	0	1502	73	0	0	0	0	10	29583	300	1:5;9001:3;5005:26	5	11070	11072	1115
11072	贝尔维尤山公园	Bellevue Hill Park	17	0.7;0.5	1102	0	0	0	71	0	0	0	0	10	29879	300	1:5;9001:3;5005:26	5	11071	11073	1115
11073	芬德利市场	Findlay Market	17	0.6;0.25	0	1201	0	0	0	0	70	0	0	10	30178	300	1:5;9001:3;5005:26	5	11072	11074	1115
11074	奥尔特公园	Ault Park	17	0.75;0.95	0	0	1401	0	74	0	0	0	0	8	30480	300	1:5;9001:3;5005:26	5	11073	11075	1115
11075	摇滚乐名人堂博物馆	RnR Hall of Fame	15	0.2;0.2	0	1201	0	0	78	0	0	0	0	13	44000	400	1:5;9001:4;5005:28	5	11074	11076	1116
11076	克利夫兰艺术博物馆	Museum of Art	15	0.2;0.7	0	0	1402	0	78	0	0	0	0	10	44440	400	1:5;9001:4;5005:28	5	11075	11077	1116
11077	西区市场	West Side Market	15	0.68;0.4	0	0	0	1502	0	0	75	0	0	10	44884	400	1:5;9001:4;5005:28	5	11076	11078	1116
11078	克利夫兰管弦乐团	Cleveland Orchestra	15	0.65;0.75	0	1201	0	0	0	0	75	0	0	10	45333	400	1:5;9001:4;5005:28	5	11077	11079	1116
11079	埃奇沃特公园	Edgewater Park	15	0.68;0.2	1101	0	0	0	0	76	0	0	0	10	45786	400	1:5;9001:4;5005:28	5	11078	11080	1116
11080	湖景公墓	Lake View Cemetery	15	0.1;0.89	0	0	1402	0	0	76	0	0	0	8	46244	400	1:5;9001:4;5005:28	5	11079	11081	1116
11081	克劳福德汽车博物馆	Auto-Aviation Museum	15	0.65;0.95	0	1202	0	0	0	77	0	0	0	7	46706	400	1:5;9001:4;5005:28	5	11080	11082	1116
11082	大拱门	The Gateway Arch	15	0.2;0.2	0	0	0	1501	0	84	0	0	0	13	46000	400	1:5;9001:4;5005:29	5	11081	11083	1117
11083	城市博物馆	City Museum	15	0.2;0.7	0	0	1401	0	0	82	0	0	0	10	46460	400	1:5;9001:4;5005:29	5	11082	11084	1117
11084	华盛顿大学	UW	15	0.68;0.4	0	1202	0	0	0	0	81	0	0	10	46925	400	1:5;9001:4;5005:29	5	11083	11085	1117
11085	圣路易斯动物园	SAaint Louis Zoo	15	0.65;0.75	0	0	0	1501	82	0	0	0	0	10	47394	400	1:5;9001:4;5005:29	5	11084	11086	1117
11086	西进运动博物馆	Expansion Memorial	15	0.68;0.2	1101	0	0	0	0	0	80	0	0	10	47868	400	1:5;9001:4;5005:29	5	11085	11087	1117
11087	马尔科姆纪念公园	Memorial Park	15	0.1;0.89	0	1201	0	0	83	0	0	0	0	8	48347	400	1:5;9001:4;5005:29	5	11086	11088	1117
11088	密苏里植物园	Missouri Garden	15	0.6;0.95	0	0	0	1501	0	0	83	0	0	7	48830	400	1:5;9001:4;5005:29	5	11087	11089	1117
11089	威斯康辛大学	Wisconsin University	15	0.2;0.2	0	0	0	1502	0	0	86	0	0	13	51000	400	1:5;9001:4;5005:30	5	11088	11090	1118
11090	麦迪逊市政府	Madison City Council	15	0.2;0.7	1102	0	0	0	0	0	86	0	0	10	51510	400	1:5;9001:4;5005:30	5	11089	11091	1118
11091	曼多塔湖	Lake Mendota	15	0.68;0.4	0	0	1401	0	85	0	0	0	0	10	52025	400	1:5;9001:4;5005:30	5	11090	11092	1118
11092	艾伦百年花园	Allen Gardens	15	0.65;0.75	0	0	1401	0	0	0	85	0	0	10	52545	400	1:5;9001:4;5005:30	5	11091	11093	1118
11093	州府街	State Street	15	0.68;0.2	0	1201	0	0	0	0	85	0	0	10	53070	400	1:5;9001:4;5005:30	5	11092	11094	1118
11094	亨利维拉斯动物园	Henry Vilas Zoo	15	0.1;0.89	0	0	1402	0	87	0	0	0	0	8	53601	400	1:5;9001:4;5005:30	5	11093	11095	1118
11095	议会大厦	Wisconsin Capitol	15	0.6;0.95	0	0	0	1502	87	0	0	0	0	7	54137	400	1:5;9001:4;5005:30	5	11094	11096	1118
11096	伊比拉普艾拉公园	Ibirapuera Park	15	0.2;0.2	1101	0	0	0	0	94	0	0	0	13	57000	500	1:5;9001:4;5005:31	5	11095	11097	1119
11097	圣保罗主教堂	St Paul Cathedral	15	0.2;0.7	0	1202	0	0	0	90	0	0	0	10	57570	500	1:5;9001:4;5005:31	5	11096	11098	1119
11098	独立公园	Independence Park	15	0.68;0.4	0	0	1402	0	92	0	0	0	0	10	58146	500	1:5;9001:4;5005:31	5	11097	11099	1119
11099	圣保罗美术馆	St Paul Art Museum	15	0.65;0.75	1101	0	0	0	92	0	0	0	0	10	58727	500	1:5;9001:4;5005:31	5	11098	11100	1119
11100	东方街	Liberdade	15	0.68;0.2	0	0	0	1501	91	0	0	0	0	10	59314	500	1:5;9001:4;5005:31	5	11099	11101	1119
11101	保利斯塔大道	Avenida Paulista	15	0.1;0.89	0	0	1401	0	0	0	92	0	0	8	59907	500	1:5;9001:4;5005:31	5	11100	11102	1119
11102	天主教大教堂	Catholic Cathedral	15	0.6;0.95	0	1202	0	0	0	0	91	0	0	7	60506	500	1:5;9001:4;5005:31	5	11101	11103	1119
11103	沙漠植物园	Desert Garden	15	0.2;0.2	1101	0	0	0	0	96	0	0	0	13	62000	500	1:5;9001:4;5005:32	5	11102	11104	1120
11104	亚利桑那州立大学	ASU	15	0.2;0.7	0	0	0	1501	0	99	0	0	0	10	62620	500	1:5;9001:4;5005:32	5	11103	11105	1120
11105	日落公园	Papago Park	15	0.68;0.4	0	1201	0	0	0	97	0	0	0	10	63246	500	1:5;9001:4;5005:32	5	11104	11106	1120
11106	乐器博物馆	Instrument Museum	15	0.65;0.75	1101	0	0	0	0	97	0	0	0	10	63878	500	1:5;9001:4;5005:32	5	11105	11107	1120
11107	凤凰城动物园	Phoenix Zoo	15	0.68;0.2	0	0	1402	0	0	0	96	0	0	10	64517	500	1:5;9001:4;5005:32	5	11106	11108	1120
11108	中国文化中心	Chinese Center	15	0.1;0.89	1102	0	0	0	0	0	96	0	0	8	65162	500	1:5;9001:4;5005:32	5	11107	11109	1120
11109	南山公园	Nanshan Park	15	0.6;0.95	0	0	0	1502	0	96	0	0	0	7	65814	500	1:5;9001:4;5005:32	5	11108	11110	1120
11110	热带动植物园	Tropical Zoo	13	0.2;0.2	0	0	1401	0	0	0	101	0	0	13	69000	500	1:5;9001:5;5005:35	5	11109	11111	1121
11111	塞勒姆蜡像馆	Salem Wax Museum	13	0.2;0.7	0	1201	0	0	0	101	0	0	0	10	70035	500	1:5;9001:5;5005:35	5	11110	11112	1121
11112	塞勒姆老公墓	Salem Cemetery	13	0.68;0.4	1101	0	0	0	0	100	0	0	0	10	71086	500	1:5;9001:5;5005:35	5	11111	11113	1121
11113	塞勒姆博物馆	The Salem Museum	13	0.65;0.75	0	0	0	1502	101	0	0	0	0	10	72152	500	1:5;9001:5;5005:35	5	11112	11114	1121
11114	海盗博物馆	Pirate Museum	13	0.68;0.2	1101	0	0	0	0	0	103	0	0	10	73234	500	1:5;9001:5;5005:35	5	11113	11115	1121
11115	梦魇画廊	Nightmare Gallery	13	0.1;0.89	0	1202	0	0	0	104	0	0	0	10	74333	500	1:5;9001:5;5005:35	5	11114	11116	1121
11116	尖角阁老宅	Seven Gables House	13	0.6;0.95	0	0	1402	0	0	0	102	0	0	8	75448	500	1:5;9001:5;5005:35	5	11115	11117	1121
11117	国家历史遗址	Martime History Site	13	0.68;0.56	0	0	0	1501	0	103	0	0	0	7	76580	500	1:5;9001:5;5005:35	5	11116	11118	1121
11118	俄亥俄州立大学	OSU	13	0.2;0.2	0	0	0	1501	107	0	0	0	0	13	76600	600	1:5;9001:5;5005:36	5	11117	11119	1122
11119	艺术博物馆	Museum of Art	13	0.2;0.7	0	0	1402	0	0	109	0	0	0	10	77749	600	1:5;9001:5;5005:36	5	11118	11120	1122
11120	竞技场	Arena District	13	0.68;0.4	0	1202	0	0	0	0	108	0	0	10	78915	600	1:5;9001:5;5005:36	5	11119	11121	1122
11121	安特里姆公园	Antrim Park	13	0.65;0.75	1101	0	0	0	0	108	0	0	0	10	80099	600	1:5;9001:5;5005:36	5	11120	11122	1122
11122	哥伦布市中心	Downtown Columbus	13	0.68;0.2	0	0	0	1502	108	0	0	0	0	10	81300	600	1:5;9001:5;5005:36	5	11121	11123	1122
11123	议会大厦	Statehouse	13	0.1;0.89	0	1201	0	0	0	106	0	0	0	10	82520	600	1:5;9001:5;5005:36	5	11122	11124	1122
11124	俄亥俄历史中心	Historical Center	13	0.6;0.95	1101	0	0	0	106	0	0	0	0	8	83758	600	1:5;9001:5;5005:36	5	11123	11125	1122
11125	大木槌	World Largest Gavel	13	0.68;0.56	0	0	1401	0	106	0	0	0	0	7	85014	600	1:5;9001:5;5005:36	5	11124	11126	1122
11126	肯尼迪纪念广场	Memorial Plaza	13	0.2;0.2	0	0	0	1502	0	0	112	0	0	13	85100	600	1:5;9001:5;5005:37	5	11125	11127	1123
11127	南卫理公会大学	SMU	13	0.2;0.7	1102	0	0	0	112	0	0	0	0	10	86377	600	1:5;9001:5;5005:37	5	11126	11128	1123
11128	达拉斯世界水族馆	World Aquarium	13	0.68;0.4	1101	0	0	0	113	0	0	0	0	10	87673	600	1:5;9001:5;5005:37	5	11127	11129	1123
11129	达拉斯植物园	Dallas Arboretum	13	0.65;0.75	0	0	1401	0	114	0	0	0	0	10	88988	600	1:5;9001:5;5005:37	5	11128	11130	1123
11130	达拉斯艺术博物馆	Dallas Museum of Art	13	0.68;0.2	0	1201	0	0	114	0	0	0	0	10	90323	600	1:5;9001:5;5005:37	5	11129	11131	1123
11131	旧红博物馆	Old Red Museum	13	0.1;0.89	1102	0	0	0	0	110	0	0	0	10	91678	600	1:5;9001:5;5005:37	5	11130	11132	1123
11132	团圆塔	Reunion Tower	13	0.6;0.95	0	0	0	1502	0	0	112	0	0	8	93053	600	1:5;9001:5;5005:37	5	11131	11133	1123
11133	化石野生动物中心	Fossil Rim Center	13	0.68;0.56	0	1202	0	0	114	0	0	0	0	7	94449	600	1:5;9001:5;5005:37	5	11132	11134	1123
11134	罗马广场	Roman Forum	13	0.2;0.2	0	0	0	1501	118	0	0	0	0	13	94500	700	1:5;9001:5;5005:38	5	11133	11135	1124
11135	法兰克福大教堂	Cathedral Historica	13	0.2;0.7	0	0	1402	0	0	0	115	0	0	10	95918	700	1:5;9001:5;5005:38	5	11134	11136	1124
11136	美因河	Main River	13	0.68;0.4	1101	0	0	0	0	119	0	0	0	10	97357	700	1:5;9001:5;5005:38	5	11135	11137	1124
11137	法兰克福市政厅	Town Hall	13	0.65;0.75	0	0	0	1501	0	117	0	0	0	10	98817	700	1:5;9001:5;5005:38	5	11136	11138	1124
11138	铁桥	Eiserner Steg	13	0.68;0.2	0	0	1401	0	117	0	0	0	0	10	100299	700	1:5;9001:5;5005:38	5	11137	11139	1124
11139	歌德故居	Goethe House	13	0.1;0.89	0	1202	0	0	0	0	117	0	0	10	101803	700	1:5;9001:5;5005:38	5	11138	11140	1124
11140	老尼古拉教堂	Old Nicholas Church	13	0.6;0.95	1101	0	0	0	0	0	117	0	0	8	103330	700	1:5;9001:5;5005:38	5	11139	11141	1124
11141	历史博物馆	Historical Museum	13	0.68;0.56	0	0	0	1501	0	0	116	0	0	7	104880	700	1:5;9001:5;5005:38	5	11140	11142	1124
11142	火山国家公园	Volcanoes Park	13	0.2;0.2	0	1201	0	0	123	0	0	0	0	13	104900	700	1:5;9001:5;5005:40	5	11141	11143	1125
11143	恐龙湾	Hanauma Bay	13	0.2;0.7	1102	0	0	0	0	0	123	0	0	10	106474	700	1:5;9001:5;5005:40	5	11142	11144	1125
11144	珍珠港	Pearl Harbor	13	0.68;0.4	0	0	1401	0	0	0	124	0	0	10	108071	700	1:5;9001:5;5005:40	5	11143	11145	1125
11145	钻石山	Diamond Head	13	0.65;0.75	1102	0	0	0	120	0	0	0	0	10	109692	700	1:5;9001:5;5005:40	5	11144	11146	1125
11146	国家公园	National Park	13	0.68;0.2	0	0	0	1501	0	0	122	0	0	10	111337	700	1:5;9001:5;5005:40	5	11145	11147	1125
11147	威基基海滩	Waikiki Beach	13	0.1;0.89	0	0	1401	0	0	123	0	0	0	10	113007	700	1:5;9001:5;5005:40	5	11146	11148	1125
11148	茂宜岛	Maui	13	0.6;0.95	0	1201	0	0	0	0	123	0	0	8	114702	700	1:5;9001:5;5005:40	5	11147	11149	1125
11149	古兰尼牧场	Kualoa Ranch	13	0.68;0.56	1101	0	0	0	0	0	120	0	0	7	116423	700	1:5;9001:5;5005:40	5	11148	11150	1125
11150	盐教堂	Catedral de Sal	13	0.2;0.2	0	0	0	1502	0	0	129	0	0	13	116500	800	1:5;9001:6;5005:41	5	11149	11151	1126
11151	黄金博物馆	Museo de Oro	13	0.2;0.7	0	1202	0	0	0	0	125	0	0	10	118248	800	1:5;9001:6;5005:41	5	11150	11152	1126
11152	蒙塞拉特山	Cerro de Monserrate	13	0.68;0.4	1102	0	0	0	125	0	0	0	0	10	120022	800	1:5;9001:6;5005:41	5	11151	11153	1126
11153	93公园	Parque de la 93	13	0.65;0.75	0	0	1402	0	0	126	0	0	0	10	121822	800	1:5;9001:6;5005:41	5	11152	11154	1126
11154	香农瀑布	Shannon Falls	13	0.68;0.2	1101	0	0	0	0	0	127	0	0	10	123649	800	1:5;9001:6;5005:41	5	11153	11155	1126
11155	探索公园	Explora Park	13	0.1;0.89	0	0	0	1501	126	0	0	0	0	10	125504	800	1:5;9001:6;5005:41	5	11154	11156	1126
11156	约翰尼	Johnny cay	13	0.6;0.95	0	1201	0	0	126	0	0	0	0	8	127387	800	1:5;9001:6;5005:41	5	11155	11157	1126
11157	山谷教堂	Valley Church	13	0.68;0.56	0	1202	0	0	127	0	0	0	0	7	129298	800	1:5;9001:6;5005:41	5	11156	11158	1126
11158	州议会大厦	State Capitol	13	0.2;0.2	1101	0	0	0	134	0	0	0	0	13	129300	800	1:5;9001:6;5005:42	5	11157	11159	1127
11159	消防博物馆	Fire Museum	13	0.2;0.7	0	0	0	1501	0	134	0	0	0	10	131240	800	1:5;9001:6;5005:42	5	11158	11160	1127
11160	生活大楼	Life Building	13	0.68;0.4	0	1201	0	0	0	130	0	0	0	10	133209	800	1:5;9001:6;5005:42	5	11159	11161	1127
11161	拉马尔生活大厦	Lamar Life Building	13	0.65;0.75	1102	0	0	0	0	0	130	0	0	10	135207	800	1:5;9001:6;5005:42	5	11160	11162	1127
11162	州议会大厦	State Capitol	13	0.68;0.2	0	0	0	1502	133	0	0	0	0	10	137235	800	1:5;9001:6;5005:42	5	11161	11163	1127
11163	艾尔霍尔	Ayer Hall	13	0.1;0.89	1102	0	0	0	134	0	0	0	0	10	139294	800	1:5;9001:6;5005:42	5	11162	11164	1127
11164	老国会大厦博物馆	Old Capitol Museum	13	0.6;0.95	1101	0	0	0	0	0	130	0	0	8	141383	800	1:5;9001:6;5005:42	5	11163	11165	1127
11165	阿拉莫剧院	Alamo Theater	13	0.68;0.56	0	0	1401	0	0	133	0	0	0	7	143504	800	1:5;9001:6;5005:42	5	11164	11166	1127
11166	摩门圣殿	Salt Lake Temple	13	0.2;0.2	0	1201	0	0	0	138	0	0	0	13	143600	900	1:5;9001:6;5005:44	5	11165	11167	1128
11167	犹他州议会大厦	Utah State Capitol	13	0.2;0.7	0	0	0	1502	0	136	0	0	0	10	145754	900	1:5;9001:6;5005:44	5	11166	11168	1128
11168	圣殿广场	Temple Square	13	0.68;0.4	0	0	0	1502	136	0	0	0	0	10	147940	900	1:5;9001:6;5005:44	5	11167	11169	1128
11169	圣徒教会会议中心	LDS Meeting Center	13	0.65;0.75	0	1202	0	0	0	139	0	0	0	10	150159	900	1:5;9001:6;5005:44	5	11168	11170	1128
