int	string	string	string	string
31	Activity - SignPanel	9qou8rs7pytu5-n3_lrcq	nextTip	
32	Activity - WelfareMain	9qou8rs7rrsje-n4_hh76	title	
33	ArtistDic - actorBg	aeg3jnlem8at11-n41_m8at	title	
34	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n7_m8at	title	
35	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n22_m8at	ScreenBtn	
36	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n30_m8at	type1	
37	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n31_m8at	type2	
38	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n32_m8at	type3	
39	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n33_m8at	type4	
40	Building - BuildFloorAlert	d062jvkgcpc911m-n7_cpc9	alert_title	
41	ArtistDic - ArtistDicUI	aeg3jnlem8atq-n34_m8at	type5	
42	ArtistDic - ArtistList	aeg3jnlem8at14-n24_8hl1	noTip	
43	ArtistDic - ArtistShow	aeg3jnlem8atr-n17_m8at	nameTip1	
44	ArtistDic - ArtistShow	aeg3jnlem8atr-n18_m8at	nameTip2	
45	ArtistDic - ArtistShow	aeg3jnlem8atr-n23_m8at	notHired	
46	ArtistDic - ArtistShow	aeg3jnlem8atr-n24_m8at	name	
47	ArtistDic - ArtistShow	aeg3jnlem8atr-n34_m8at	tip1	
48	ArtistDic - ArtistShow	aeg3jnlem8atr-n35_m8at	tip2	
49	ArtistDic - ArtistShow	aeg3jnlem8atr-n51_m8at-prompt	input	
50	ArtistDic - ArtistShow	aeg3jnlem8atr-n52_m8at	sendBtn	
51	ArtistDic - ArtistShow	aeg3jnlem8atr-n53_m8at	detailsBtn	
52	ArtistDic - ArtistShow	aeg3jnlem8atr-n56_8hl1	tip3	
53	Building - BuildRoomTips	d062jvkgi24u12c-n31_i24u	effectText2	
54	ArtistDic - ArtistShow	aeg3jnlem8atr-n57_8hl1	noTip	
55	Bag - ActorItem	wdrb9z06n9f05-n111_qz6z	title	
56	Bag - BagItemInfo	wdrb9z06n9f00-n80_ow2j	labItem	
57	Bag - BagItemInfo	wdrb9z06n9f00-n81_ow2j	txtName	
58	Bag - BagItemInfo	wdrb9z06n9f00-n82_ow2j	txtInfo	
59	Bag - BagItemInfo	wdrb9z06n9f00-n85_ow2j	btnSale	
60	Bag - BagItemInfo	wdrb9z06n9f00-n86_ow2j	btnUse	
61	Building - BuildRoomUpgrade	d062jvkg8zgr3o-n28_w5tk	txt_companyLevel	
62	Bag - BagItemInfo	wdrb9z06n9f00-n114_7yfc	btnInfo	
63	Bag - BagItemInfo	wdrb9z06n9f00-n103_ow2j	btnResolve	
64	Bag - BagItemInfo	wdrb9z06n9f00-n104_ow2j	btnGive	
65	Bag - BagItemInfo	wdrb9z06n9f00-n105_ow2j	btnCompound	
66	Bag - BagMainPanel	wdrb9z06n9f02-n4_n8uo-0	listTab	
67	Bag - BagMainPanel	wdrb9z06n9f02-n4_n8uo-1	listTab	
68	Bag - BagMainPanel	wdrb9z06n9f02-n4_n8uo-2	listTab	
69	Bag - BagMainPanel	wdrb9z06n9f02-n4_n8uo-3	listTab	
70	Bag - BagMainPanel	wdrb9z06n9f02-n67_xl2j	n67	
71	Bag - btnTab	wdrb9z06kvagr-n4	title	
72	Bag - MarketLabAsset	wdrb9z06nd2w11-n3_hz8v	title	
73	Bag - PactItem	wdrb9z06n9f09-n34_hefl	n34	
74	Bag - SystemSelectActorPanel	wdrb9z06n9f03-n71_hxi2	title	
75	Bag - SystemSelectActorPanel	wdrb9z06n9f03-n79_swip	tipNoActor	
76	Bag - SystemSelectActorPanel	wdrb9z06n9f03-n82_i4hg	btnConfirm	
77	Building - btn_buildFloor	d062jvkgcpc911k-n7_cpc9	Title	
78	Building - NextLevelProp	d062jvkgcpc911c-n17_cpc9	title	
79	Building - btn_buildRoom	d062jvkg8zgr3n-n9_mmlr	Title	
80	Building - btn_confirm	d062jvkgcpc911e-n4_cpc9	Title	
81	Building - btn_levelup	d062jvkgcpc911d-n4_cpc9	Title	
82	Building - btn_roomBuild	d062jvkgw5tk11y-n7_cpc9	Title	
83	Building - btn_roomExpand	d062jvkgw5tk11z-n7_cpc9	Title	
84	Building - btn_roomTitle	d062jvkg8zgr3m-n4	title	
85	Building - BtnNpcTips	d062jvkggy5h13r-n2_yru4	title	
86	Building - BuildRoom	d062jvkgor9t1-n33_xw64	buildFloorInfo	
87	Building - BuildRoomTips	d062jvkgi24u12c-n30_i24u	effectText1	
88	Building - BuildRoomTips	d062jvkgi24u12c-n36_fv9e	effectValue1	
89	Building - BuildRoomTips	d062jvkgi24u12c-n33_fv9e	effectText2	
90	Building - roomInfoItem	d062jvkgcpc911i-n7_cpc9	room_level	
91	Building - BuildRoomTips	d062jvkgi24u12c-n35_fv9e	effectValue2	
92	Building - BuildRoomUpgrade	d062jvkg8zgr3o-n29_w5tk	txt_name	
93	Building - BuildRoomUpgrade	d062jvkg8zgr3o-n43_9zjb	maxLevelDesc	
94	Building - BuildSceneFilmEnter	d062jvkgg9i613z-n3_opnp	title	
95	Common - AssetItem	txcuvopddtlg2n-n4_cpc9	Title	
96	Building - BuildUpgradePropitem	d062jvkgfv9e13e-n20_w5tk	title	
97	Building - LevelupNextProp	d062jvkg9zjb13j-n17_cpc9	title	
98	Building - CurLevelProp	d062jvkgcpc911b-n17_cpc9	title	
99	Building - propitem	d062jvkgcpc911a-n20_w5tk	title	
100	Building - roomInfoItem	d062jvkgcpc911i-n6_cpc9	room_title	
101	Building - roomInfoLockItem	d062jvkgcpc911j-n23_cpc9	room_title	
102	Building - roomInfoLockItem	d062jvkgcpc911j-n28_cpc9	reason	
103	Building - UpgradeSuccessGroup	d062jvkgui5j13w-n6_cpc9	roomName	
104	Common - ActorLvBreaktUI	txcuvopdlvexed-n15_dphp	desc	
105	Common - ActorSelectItem	txcuvopdq41hga-n111_qz6z	title	
106	Common - ActorSelectItem	txcuvopdq41hga-n131_r5sp	skillExp	
107	Common - BtnConfirm	txcuvopdsc1s30-n4_cpc9	Title	
108	Common - BtnGreen	txcuvopdj3a33m-n4_cpc9	Title	
109	Common - BtnYellow	txcuvopdj3a33l-n4_cpc9	title	
110	Common - ButtonBlueSmall	txcuvopdx9zq4k-n2_x9zq	title	
111	Common - ItemCellView	txcuvopdjdsf11-n60_jdsf	title	
112	Common - ButtonCost	txcuvopdw1srd0-n6_k1jx	title	
113	Common - ButtonCostPurple	txcuvopdq41hg7-n6_pspr	title	
114	Building - BuildRoomUpgradeSuccess	d062jvkgcpc911n-n6_cpc9	roomName	
115	Common - ButtonCostYellow	txcuvopdq41hg8-n6_pspr	title	
116	Common - ButtonDoubleLabel	txcuvopdw1srd3-n6_k1jx	title	
117	Common - ButtonTipBlue	txcuvopdx9zq4s-n1_fawn	text	
118	Common - ButtonTipYellow	txcuvopdfawn4u-n2_fawn	title	
119	Common - ButtonYellowIconBig	txcuvopdrrsjaa-n2_x9zq	title	
120	Common - CommonAssetItem	txcuvopdib9zb5-n19_mk9y	num	
121	Common - ProgressBarYellow	txcuvopdfawn4x-n2_fawn	value	
122	Common - CommonButton	txcuvopdoapb9z-n1_hz3m	title	
123	Common - CommonItem	txcuvopdcwjyav-n9_tpm8	title	
124	Common - CommonItem_70	txcuvopdui5jt23o-n9_tpm8	title	
125	Common - FunctionItem	txcuvopdcwjyax-n2_hh76	title	
126	Common - GetWayAlert	txcuvopde57g2b-n12_o11z	lbl	
127	Common - Slider	txcuvopdnsfy29-n9_nsfy	n5	
128	Common - GetWayAlert	txcuvopde57g2b-n9_cpc9	descTxt	
129	Common - GetWayAlert	txcuvopde57g2b-n19_o11z	n19	
130	Common - GetWayAlert	txcuvopde57g2b-n24_f7zd	assetNum	
131	Common - GetWayItem	txcuvopde57g2e-n23_o11z	title	
132	Common - ItemInfo	txcuvopdth3bt236-n6_h9c1	name	
133	Common - SystemAddFansMessage	txcuvopdfbam2m-n10_fbam	n10	
134	Common - ItemInfo	txcuvopdth3bt236-n8_h9c1	num	
135	Common - ItemInfo	txcuvopdth3bt236-n12_h9c1	desc	
136	Common - ItemInfo	txcuvopdth3bt236-n13_h9c1	way	
137	Common - ItemInfo	txcuvopddo33t235-n6_h9c1	name	
138	Common - ItemInfo	txcuvopddo33t235-n8_h9c1	num	
139	Common - ItemInfo	txcuvopddo33t235-n12_h9c1	desc	
140	Common - ButtonBlueBig	txcuvopdx9zq4n-n2_x9zq	text	
141	Common - ItemInfo	txcuvopddo33t235-n13_h9c1	way	
142	Common - MovieInfoItem	txcuvopdcvs8d0-n62_jakw	boxOffice	
143	Common - OscarDanmuContent	txcuvopdenjffr-n59_ifoc	title	
144	Common - PlayerMovieInfo	txcuvopdq41hg5-n69_jakw	n69	
145	Common - PlayerMovieInfo	txcuvopdcvs8cq-n69_jakw	n69	
146	Common - ProgressBarBlue	txcuvopdfawn4y-n2_fawn	value	
147	Common - ProgressBarMain	txcuvopdhh7651-n2_fawn	value	
148	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n8_kk9x	name	
149	Common - ProgressBarRed	txcuvopdfawn4v-n2_fawn	value	
150	Common - ProgressBarYellow	txcuvopddm31t22b-n2_fawn	title	
151	Common - ProperText	txcuvopdcvs8d8-n58_cvs8	title	
152	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n9_kk9x	time	
153	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n14_r8ay	name	
154	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n63_l814	time	
155	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n67_l814	n67	
156	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n69_l814	n69	
157	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n10_kk9x	n10	
158	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n74_l814	n74	
159	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n84_l814	n84	
160	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n11_kk9x	n11	
161	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n91_cvs8	Title	
162	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n92_cvs8	filmtype2	
163	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n96_cvs8	boxOffice	
164	Common - RankMovieInfoPanel	txcuvopdcvs8cs-n99_cvs8	filmType	
165	Common - RankPlayerInfo	txcuvopdq41hg6-n24_jakw	name	
166	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n18_kk9x	story	
167	Common - RankPlayerInfo	txcuvopdq41hg6-n25_jakw	lv	
168	Common - RankPlayerInfo	txcuvopdq41hg6-n26_jakw	n26	
169	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n20_kk9x	n20	
170	Common - RankPlayerInfo	txcuvopdq41hg6-n28_jakw	union	
171	Common - ButtonPurpleBig	txcuvopdx9zq4m-n2_x9zq	text	
172	Common - RankPlayerInfo	txcuvopdq41hg6-n58_cvs8	street	
173	Common - RankPlayerInfo	txcuvopdq41hg6-n62_cvs8	actor	
174	Common - CommonItem_70	txcuvopdfx2gt23m-n9_tpm8	title	
175	Common - RankPlayerInfo	txcuvopdq41hg6-n63_cvs8	build	
176	Common - RankPlayerInfo	txcuvopdq41hg6-n64_cvs8	market	
177	Common - RankPlayerInfo	txcuvopdcvs8ck-n24_jakw	name	
178	Common - RankPlayerInfo	txcuvopdcvs8ck-n25_jakw	lv	
179	Common - RankPlayerInfo	txcuvopdcvs8ck-n26_jakw	n26	
180	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n23_kk9x	n23	
181	Common - RankPlayerInfo	txcuvopdcvs8ck-n28_jakw	union	
182	Common - SystemMovieInfoPanel	txcuvopdx9zq4c-n32_kk9x	n32	
183	Common - RankPlayerInfo	txcuvopdcvs8ck-n58_cvs8	street	
184	Common - RankPlayerInfo	txcuvopdcvs8ck-n62_cvs8	actor	
185	Common - RankPlayerInfo	txcuvopdcvs8ck-n63_cvs8	build	
186	Common - RankPlayerInfo	txcuvopdcvs8ck-n64_cvs8	market	
187	Common - RankPlayerInfo	txcuvopdcvs8ck-n66_cvs8	signature	
188	Common - RankPlayerInfoPanel	txcuvopdcvs8cj-n21_jakw	title	
189	Common - RankRenamePanel	txcuvopdcvs8cl-n59_o11z	titleName	
190	Common - RankRenamePanel	txcuvopdcvs8cl-n63_o11z	btn_rename	
191	Common - RankRenamePanel	txcuvopdcvs8cl-n65_o11z-prompt	inputName	
192	Common - RankRenamePanel	txcuvopdcvs8cl-n69_8p71	txtContent	
193	Common - ButtonPurpleSmall	txcuvopdx9zq4l-n2_x9zq	text	
194	Common - SkillEffectUI	txcuvopdi2p1ap-n15_dphp	desc	
195	Common - SkillEffectUI	txcuvopdi2p1ap-n16_dphp	title	
196	Common - Slider	txcuvopdnsfy29-n16_kxf1	title	
197	Common - StoryItem	txcuvopdcwjyay-n81_cwjy	title	
198	Common - StreetLevelUp	txcuvopdcke2gb-n9_mk9y	lastStreet	
199	Common - StreetLevelUp	txcuvopdcke2gb-n10_mk9y	currentStreet	
200	Common - StreetLevelUp	txcuvopdcke2gb-n20_fv9e	btnGetAward	
201	Common - StreetLevelUp	txcuvopdcke2gb-n32_h67b	n32	
202	Common - StreetLevelUpItem	txcuvopdl40ut23c-n31_h67b	name	
203	Common - SystemAddFansMessage	txcuvopdfbam2m-n3_fbam	title	
204	Common - SystemAddFansMessage	txcuvopdfbam2m-n4_fbam	content	
205	Common - SystemAlertGift	txcuvopdcwjyau-n4_hh76	title	
206	Common - SystemAlertGift	txcuvopdcwjyau-n5_hh76	des	
207	Common - SystemAlertTextIconMessage	txcuvopdib9zb4-n2_ib9z	content	
208	Common - ButtonYellowBig	txcuvopdx9zq4r-n2_x9zq	text	
209	Common - SystemGetItemMessage	txcuvopdmu1z2b-n6_mu1z	n6	
210	Common - SystemGoOtherFunction	txcuvopdcwjyaw-n4_hh76	title	
211	Common - SystemGoOtherFunction	txcuvopdcwjyaw-n5_hh76	des	
212	Common - SystemSetNumMessage	txcuvopdnsfy23-n83_osuf	content	
213	Common - SystemSetNumMessage	txcuvopdnsfy23-n85_qw0i	title	
214	Common - SystemSetNumMessage	txcuvopdnsfy23-n86_qw0i	okBtn	
215	Common - TalkBox1	txcuvopdbdbft23c-n8_e65f	title	
216	Common - Text22px	txcuvopdx9zq45-n0_x9zq	text	
217	Common - TextInput	txcuvopdenjffm-n1	title	
218	Common - TopAssetItem	txcuvopdfv9ead-n26_dyfe	title	
219	Common - YellowBtn	txcuvopdnsfy25-n6_k1jx	title	
220	Cooperation - CooperationAchieved	k9ycebr5w3bv1-n5_w3bv	name1	
221	Common - ButtonYellowSmall	txcuvopdx9zq4j-n2_x9zq	text	
222	Cooperation - CooperationAchieved	k9ycebr5w3bv1-n6_w3bv	name2	
223	Cooperation - CooperationAchieved	k9ycebr5w3bv1-n7_w3bv	level1	
224	Cooperation - CooperationAchieved	k9ycebr5w3bv1-n8_w3bv	level2	
225	Cooperation - CooperationAchieved	k9ycebr5w3bv1-n9_w3bv	remind	
226	Cooperation - CooperationApply	k9ycebr5w3bv3-n7_w3bv	name	
227	Cooperation - CooperationApply	k9ycebr5w3bv3-n8_w3bv	msg	
228	Cooperation - CooperationApply	k9ycebr5w3bv3-n9_w3bv	remind	
229	Cooperation - CooperationApply	k9ycebr5w3bv3-n10_w3bv	title	
230	Cooperation - CooperationEnd	k9ycebr5w3bv2-n3_w3bv	text1	
231	Cooperation - CooperationEnd	k9ycebr5w3bv2-n4_w3bv	text2	
232	Common - SystemAddFansMessage	txcuvopdfbam2m-n6_fbam	tip	
233	Cooperation - CooperationEnd	k9ycebr5w3bv2-n6_w3bv	title	
234	Cooperation - cooperationForMainUI	k9ycebr5g8fc29-n2_g8fc	iconBtn1	
235	Cooperation - cooperationForMainUI	k9ycebr5g8fc29-n10_g8fc	iconBtn2	
236	Cooperation - cooperationForMainUI	k9ycebr5g8fc29-n11_g8fc	iconBtn3	
237	Cooperation - cooperationForMainUI	k9ycebr5g8fc29-n12_g8fc	iconBtn4	
238	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n3_w3bv	title	
239	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n9_w3bv	text1	
240	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n10_w3bv	text2	
241	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n11_w3bv	selfId	
242	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n12_w3bv	remind	
243	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n13_w3bv	intro	
244	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n14_w3bv	inviteBtn1	
245	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n18_w3bv	text3	
246	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n25_w3bv-prompt	otherID	
247	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n42_g8fc	introduce	
248	Cooperation - CooperationRealtionship	k9ycebr5w3bv4-n8_w3bv	title	
249	Cooperation - CooperationRealtionship	k9ycebr5w3bv4-n15_w3bv	name1	
250	Cooperation - CooperationRealtionship	k9ycebr5w3bv4-n16_w3bv	name2	
251	Cooperation - CooperationRealtionship	k9ycebr5w3bv4-n17_w3bv	level1	
252	Cooperation - CooperationRealtionship	k9ycebr5w3bv4-n18_w3bv	level2	
253	Cooperation - CooperationRealtionship	k9ycebr5w3bv4-n20_w3bv	des	
254	Cooperation - CooperationRewardItem	k9ycebr5w3bv5-n3_w3bv	des	
255	Cooperation - CooperationRewardItem	k9ycebr5w3bv5-n4_w3bv	receiveBtn	
256	Cooperation - CooperationRewardItem	k9ycebr5w3bv5-n16_w3bv	assitingText	
257	Cooperation - iconBtn	k9ycebr5g8fc2a-n7_g8fc	title	
258	Fx - SkillEffectUI7777	9l36y1kiraagls-n15_dphp	desc	
259	Fx - SkillEffectUI7777	9l36y1kiraagls-n16_dphp	title	
260	GM - ButtonCorner	ujw583ypfv0td-n4	title	
261	GM - ButtonNoBG	ujw583ypcrnyi-n4	title	
262	GM - ButtonRect	ujw583ypc3i0h-n4	title	
263	GM - Checkbox	ujw583ypnb4ea-n4	title	
264	GM - GMAddItem	ujw583ypfv0tc-n3_fv0t	button	
265	GM - GMAddItem	ujw583ypfv0tc-n1_fv0t	title	
266	GM - GMAddItem	ujw583ypfv0tc-n2_fv0t	describe	
267	GM - GMAddPage	ujw583ypfbyi9-n5_fbyi	popupButton	
268	GM - GMAddPage	ujw583ypfbyi9-n8_fv0t	filterCheckbox	
269	GM - GMAddPage	ujw583ypfbyi9-n12_c3i0	listTopButton	
270	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n25_w3bv	otherID	
271	GM - GMAddPage	ujw583ypfbyi9-n13_c3i0	listBottomButton	
272	GM - GMCmdItem	ujw583ypket7n-n3_fv0t	button	
273	GM - GMCmdItem	ujw583ypket7n-n11_ket7	name	
274	GM - GMCmdPage	ujw583ypket7k-n13_ket7-0	list	
275	GM - GMCmdPage	ujw583ypket7k-n13_ket7-1	list	
276	GM - GMCmdPage	ujw583ypket7k-n13_ket7-2	list	
277	Cooperation - CooperationMainPanel	k9ycebr5w3bv0-n30_w3bv	time	
278	GM - GMCmdPage	ujw583ypket7k-n16_ket7	sendButton	
279	GM - GMCmdPage	ujw583ypket7k-n18_ket7	clearButton	
280	GM - GMDebugPage	ujw583ypfbyi8-n10_sy3r-0	list	
281	GM - GMDebugPage	ujw583ypfbyi8-n10_sy3r-1	list	
282	GM - GMDebugPage	ujw583ypfbyi8-n10_sy3r-2	list	
283	GM - GMDebugPage	ujw583ypfbyi8-n11_sy3r	clearButton	
284	GM - GMDebugPage	ujw583ypfbyi8-n12_sy3r	refreshButton	
285	GM - GMDisplayTreePage	ujw583ypx6hov-n12_sy3r	refreshButton	
286	GM - GMDisplayTreePage	ujw583ypx6hov-n15_x6ho	showSelectButton	
287	GM - GMDisplayTreePage	ujw583ypx6hov-n16_x6ho	hideSelectButton	
288	GM - GMDisplayTreePage	ujw583ypx6hov-n17_x6ho	noSelectButton	
289	GM - GMDisplayTreePage	ujw583ypx6hov-n18_x6ho	parentLayerButton	
290	GM - GMDisplayTreePage	ujw583ypx6hov-n19_x6ho	setLayerButton	
291	GM - GMMain	ujw583yp9nrl0-n6_c3i0	closeButton	
292	GM - GMMenuBar	ujw583ypwl2t1-n11_nb4e-0	menuList	
293	GM - GMMenuBar	ujw583ypwl2t1-n11_nb4e-1	menuList	
294	GM - GMMenuBar	ujw583ypwl2t1-n11_nb4e-2	menuList	
295	GM - GMMenuBar	ujw583ypwl2t1-n11_nb4e-3	menuList	
296	GM - GMMenuBar	ujw583ypwl2t1-n11_nb4e-4	menuList	
297	Cooperation - SecretaryCommon	k9ycebr5hh76d-n3_hh76	n3	
298	GM - GMMenuButton	ujw583ypwl2t2-n4	title	
299	GM - GMPopupButton	ujw583ypm23g5-n4	title	
300	GM - GMPopupMenu	ujw583ypm23g4-n2-0	list	
301	GM - GMPopupMenu	ujw583ypm23g4-n2-1	list	
302	GM - GMPopupMenu	ujw583ypm23g4-n2-2	list	
303	GM - GMPopupMenu	ujw583ypm23g4-n2-3	list	
304	GM - GMPopupMenu_item	ujw583ypm23g3-n3	title	
305	Cooperation - SecretaryGiftPanel	k9ycebr5hh76b-n4_hh76	title	
306	GM - GMSelectServerPage	ujw583ypket7j-n2-0	list	
307	GM - GMSelectServerPage	ujw583ypket7j-n2-1	list	
308	GM - GMSelectServerPage	ujw583ypket7j-n2-2	list	
309	GM - GMSelectServerPage	ujw583ypket7j-n2-3	list	
310	GM - GMSubMenuBar	ujw583ypfbyi6-n12_nb4e-0	subMenu	
311	GM - GMSubMenuBar	ujw583ypfbyi6-n12_nb4e-1	subMenu	
312	GM - GMSubMenuBar	ujw583ypfbyi6-n12_nb4e-2	subMenu	
313	GM - GMSubMenuButton	ujw583ypfbyi7-n4	title	
314	Cooperation - SecretaryGiftPanel	k9ycebr5hh76b-n5_hh76	des	
315	GM - GMSubMenuRadioBar	ujw583ypket7l-n12_nb4e-0	subMenu	
316	GM - GMSubMenuRadioBar	ujw583ypket7l-n12_nb4e-1	subMenu	
317	GM - GMSubMenuRadioBar	ujw583ypket7l-n12_nb4e-2	subMenu	
318	GM - NumberInput	ujw583ypfv0tf-n7_c3i0	downButton	
319	GM - NumberInput	ujw583ypfv0tf-n8_c3i0	upButton	
320	Guide - GuideFinishItem	toebkrsrgn0t17-n4_gn0t	title	
321	GM - NumberInput	ujw583ypfv0tf-n10_c3i0-prompt	title	
322	GM - TextArea	ujw583ypket7m-n7_nb4e-prompt	title	
323	GM - TextInput	ujw583ypfv0tb-n7_nb4e-prompt	title	
324	GM - TextInputCenter	ujw583ypfv0tg-n7_nb4e-prompt	title	
325	Guide - GuideMainDialog	toebkrsrhz3mw-n7_hz3m	title	
326	GM - TreeItem	ujw583ypx6hot-n3_x6ho	title	
327	GM - TreeItemOpenCheckbox	ujw583ypx6how-n9_x6ho	close	
328	GM - TreeItemOpenCheckbox	ujw583ypx6how-n10_x6ho	open	
329	Guide - GuideDialogMsgPanel	toebkrsr9wvb1o-n9_hz3m	title	
330	Guide - GuideLeftDialog	toebkrsrgn0t1b-n2_gn0t	name	
331	Cooperation - SecretaryMainPanel	k9ycebr5hh769-n4_hh76	title	
332	Guide - GuideNpcIntroductionUI	toebkrsrs9dx1f-n75_fcz7	name	
333	Guide - GuideNpcIntroductionUI	toebkrsrs9dx1f-n83_fcz7	n83	
334	Guide - GuideRightDialog	toebkrsrgn0t1c-n2_gn0t	name	
335	Guide - GuideTalkItem	toebkrsr9q7z1j-n19_r1go	testlabel	
336	Guide - GuideTalkItem	toebkrsr9q7z1j-n18_9q7z	dialogr	
337	Guide - GuideTaskItem	toebkrsrhz3m16-n17_hz3m	title	
338	Guide - GuideTaskRecordUI	toebkrsrhz3m15-n5_hz3m	title	
339	Guide - GuideTaskUI	toebkrsrhz3mz-n5_hz3m	title	
340	Guide - GuideTaskUI	toebkrsrhz3mz-n14_hz3m	desc	
341	Guide - RecordBtn	toebkrsr7vaw1k-n1_z7vk	title	
342	Guide - Text	toebkrsrfcz71r-n0_k1jx	title	
343	Guide - WarNewspaperHeadlines	toebkrsr7vaw1l-n2_pvrg	title	
344	Login - AccountComboBoxItem	7znsj5i6dl322b-n0_mw5e	title	
345	Login - accountInput	7znsj5i6cpc91k-n20_eikn-prompt	txt_account	
346	Cooperation - SecretaryMainPanel	k9ycebr5hh769-n14_hh76	giftTitle	
347	Login - Agreement	7znsj5i6cpc91p-n45_r8v7	text	
348	Login - btn_accoutsec	7znsj5i6eikno-n5_eikn	n5	
349	Login - btn_forgot	7znsj5i6eiknn-n5_eikn	Title	
350	Login - btn_guest	7znsj5i6eiknk-n5_dyfe	n5	
351	Login - btn_guestlogin	7znsj5i68zgr1i-n5_dyfe	n5	
352	Login - btn_linkaccount	7znsj5i68zgr1j-n5_dyfe	n5	
353	Login - btn_login	7znsj5i6eikni-n5_dyfe	n5	
354	Cooperation - SecretaryMainPanel	k9ycebr5hh769-n10_hh76	talkMsg	
355	Login - btn_next	7znsj5i6cpc91y-n1_cpc9	n1	
356	Login - btn_onRegister	7znsj5i68zgr1e-n5_dyfe	n5	
357	Login - btn_register	7znsj5i6eiknj-n5_dyfe	n5	
358	Login - btn_userAgreement	7znsj5i68zgr1f-n5_k88i	title	
